,AUS,CAN,DEN,FIN,GER,ITA,NZL,NOR,SCO,SWE,SUI,USA
AUS,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,-1,-1
CAN,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEN,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1,-1
FIN,-1,-1,8,-1,-1,-1,-1,-1,-1,-1,-1,-1
GER,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
ITA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6
NZL,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
NOR,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,-1
SCO,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SWE,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
SUI,-1,-1,-1,-1,-1,-1,-1,8,-1,-1,-1,-1
USA,-1,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,-1
